OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
1,-1.7294,45.965,2,-2.3084,22.63,12,8.2924,8.5617,12,4.578,4.5314,0.29207,0.82645,0.88853,0.88547,0.29161,0.20343,0.57439,0.65967
12,-5.6407,0.17567,1,-0.57887,0.43753,15,7.1236,0.21531,1,0,0,0.86663,0.75929,0.86786,NaN,0.44451,1.0599,0.71785,NaN
1,-0.90149,73.905,1,-1.3804,40.344,12,7.5874,0.047655,13,5.989,6.1299,0.09848,0.37317,0.88506,0.91073,0.19728,0.22391,0.57856,0.60782
5,-2.862,0.46254,11,-1.9586,1.8301,14,5.1017,0.034757,16,3.3053,0.13501,0.85258,0.93911,0.86789,0.91225,0.60931,0.28573,0.68918,0.72808
25,-1.8255,1.1905,1,-0.12461,0.037202,13,5.7451,0.20479,1,0,0,0.60571,0.62594,0.83842,NaN,0.53366,1.7042,0.7312,NaN
16,-3.751,3.2264,5,-0.97508,0.20377,15,3.9984,0.01308,1,0,0,0.91566,0.85716,0.86896,NaN,0.30101,0.55516,0.72366,NaN
10,-4.4857,4.6289,16,-3.1729,0.43583,14,5.8159,5.9328,15,2.6801,2.8025,0.91522,0.948,0.87608,0.91333,0.37477,0.21058,0.67858,0.69953
25,-2.3348,0.27631,5,-1.4681,0.34632,13,6.1869,0.16999,1,0,0,0.66587,0.83419,0.83528,NaN,0.48205,0.60319,0.74185,NaN
1,-0.84679,24.477,2,-1.3112,20.32,14,6.4909,0.26091,15,4.5647,4.8825,0.34796,0.75779,0.8681,0.88947,0.23771,0.17636,0.67914,0.78676
10,-5.0053,4.8135,1,-0.73433,0.54246,14,6.5831,6.7985,1,0,0,0.85333,0.77676,0.86428,NaN,0.51539,1.0148,0.71141,NaN
12,-4.2634,7.0349,9,-2.2137,2.2557,14,4.5725,4.7151,15,3.032,3.1275,0.77289,0.7468,0.90542,0.82069,0.51455,0.70091,0.58058,1.0726
6,-2.1091,16.721,9,-1.6744,1.6407,14,3.7396,3.8039,19,1.6853,0.11091,0.58764,0.9056,0.86445,0.78021,0.4737,0.34072,0.71531,1.5259
13,-4.9504,0.38878,1,-0.11586,0.0042421,14,5.7473,5.9628,1,0,0,0.91123,0.57296,0.86365,NaN,0.33869,2.11,0.712,NaN
10,-5.8692,5.8034,1,-0.95008,0.87016,14,6.7043,0.059884,1,0,0,0.93007,0.81947,0.85635,NaN,0.33962,0.84062,0.72286,NaN
4,-1.901,0.21135,1,-0.35461,0.16401,14,6.8454,0.12332,1,0,0,0.78873,0.70691,0.85488,NaN,0.80086,1.3375,0.72443,NaN
14,-4.9478,1.2891,15,-4.0086,3.7906,15,6.7973,0.19648,15,4.0048,0.091972,0.90478,0.92098,0.90245,0.90006,0.33272,0.27976,0.60523,0.72983
2,-4.1536,41.681,1,-1.3069,10.059,13,6.7116,7.1261,15,3.27,0.20876,0.64087,0.22852,0.8875,0.90211,0.32948,0.94105,0.60089,0.6999
